timestamp,marginaler_traeger,marginal_ohne_speicher,mef_g_kwh,aef_stunde_g_kwh,deckungsgrad
2024-06-15T19:00:00.000Z,Pumpspeicher,Erdgas,751,302.8,0.47
2024-06-15T20:00:00.000Z,Pumpspeicher,Biomasse,751,303.8,1.18
2024-06-15T21:00:00.000Z,Pumpspeicher,Braunkohle,751,273.6,0.63
2024-06-15T22:00:00.000Z,Pumpspeicher,Erdgas,751,260.9,0.50
2024-06-15T23:00:00.000Z,Pumpspeicher,Erdgas,751,245.6,0.61
2024-06-16T00:00:00.000Z,Pumpspeicher,Steinkohle,751,234.7,0.38
2024-06-16T01:00:00.000Z,Pumpspeicher,Biomasse,751,235.3,1.14
2024-06-16T02:00:00.000Z,Pumpspeicher,,751,239.1,1.81
2024-06-16T03:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,235.2,7.07
2024-06-16T04:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,221.3,0.69
2024-06-16T05:00:00.000Z,Erdgas,Erdgas,492,202.5,1.38
2024-06-16T06:00:00.000Z,Pumpspeicher,Sonstige Konventionelle,751,189.7,1.38
2024-06-16T07:00:00.000Z,Pumpspeicher,Biomasse,751,171.8,0.79
2024-06-16T08:00:00.000Z,Biomasse,Biomasse,53,160.0,0.52
2024-06-16T09:00:00.000Z,Pumpspeicher,Braunkohle,751,151.0,0.46
2024-06-16T10:00:00.000Z,Biomasse,Biomasse,53,148.9,0.68
2024-06-16T11:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,151.0,0.22
2024-06-16T12:00:00.000Z,Pumpspeicher,Steinkohle,751,155.8,1.11
2024-06-16T13:00:00.000Z,Erdgas,Erdgas,492,163.2,0.65
2024-06-16T14:00:00.000Z,Steinkohle,Steinkohle,968,175.7,0.24
2024-06-16T15:00:00.000Z,Pumpspeicher,Steinkohle,751,195.3,0.34
2024-06-16T16:00:00.000Z,Braunkohle,Braunkohle,1097,242.6,0.53
2024-06-16T17:00:00.000Z,Braunkohle,Braunkohle,1097,353.4,0.47
2024-06-16T18:00:00.000Z,Pumpspeicher,Braunkohle,751,422.2,0.54
2024-06-16T19:00:00.000Z,Pumpspeicher,Braunkohle,751,462.7,0.55
2024-06-16T20:00:00.000Z,Pumpspeicher,Braunkohle,751,468.7,0.88
2024-06-16T21:00:00.000Z,Pumpspeicher,Biomasse,751,482.0,1.00
2024-06-16T22:00:00.000Z,Pumpspeicher,Erdgas,751,491.0,0.80
2024-06-16T23:00:00.000Z,Pumpspeicher,Biomasse,751,497.7,1.06
