Date;Nuclear;Lignite;Coal;Gas;Other Fossil;Hydro;Wind;Solar;Biomass;Other Renewables;Total CO2 Emissions;CO2 Intensity;Missing Data;Missing Data Line
14/06 06:00 UTC;0;9989.1708;1497.3828;2288.535;1649.3123;28.862400000000004;464.6177;685.7035;233.2262;3.2878;16840.0985;339.1033;0;0
14/06 07:00 UTC;0;9673.4195;1411.2969;2292.2648;1631.1587;22.4575;434.865;994.9115;222.8805;2.9696;16686.224;324.4018;0;0
14/06 08:00 UTC;0;8930.1145;1093.2077;2091.1353;1569.2532;16.349;463.66290000000004;1274.0909;213.64;2.9696;15654.4231;293.2797;0;0
14/06 09:00 UTC;0;6965.3889;1028.7462;1970.8581;1484.0320000000002;10.9305;559.3893;1486.5592;207.3603;2.9696;13716.234099999998;246.853;0;0
14/06 10:00 UTC;0;5690.9038;1056.0017;1811.6328;1472.8565;10.8082;648.6542999999999;1675.1192;200.8875;2.9696;12569.8336;212.5602;0;0
14/06 11:00 UTC;0;5590.776;1061.8448;1775.3938;1465.043;11.7747;682.7582;1702.8973;198.7416;2.9696;12492.199;206.5886;0;0
14/06 12:00 UTC;0;6258.3873;1047.7498;1796.3935;1460.5585999999998;13.2802;679.6346;1623.4334;200.5762;3.0757;13083.0893;217.2565;0;0
14/06 13:00 UTC;0;6899.0867;1025.6422;1772.3758;1367.4045;12.3502;657.2599;1463.6723;202.7886;3.1817;13403.761900000001;232.9438;0;0
14/06 14:00 UTC;0;7649.8365;909.6479;1754.819;1388.403;12.3623;620.919;1254.6579;208.9545;3.1817;13802.781799999999;255.0146;0;0
14/06 15:00 UTC;0;8898.8225;1083.8612;1841.9942;1462.9039;15.6813;573.4612;995.5482;219.0177;3.4999;15094.7901;293.2964;0;0
14/06 16:00 UTC;0;9248.9416;1426.3755;2465.0269;1438.6580000000001;26.5337;523.3045;685.2854;232.7255;3.6059;16050.456999999999;320.0147;0;0
14/06 17:00 UTC;0;8620.64;1568.1411;2905.5458;1443.3018000000002;34.8332;478.505;350.5318;242.1744;3.9241;15647.5972;336.2805;0;0
14/06 18:00 UTC;0;9165.3219;1572.749;3016.4059;1731.0698000000002;37.6335;439.3539;110.7431;245.1295;0;16318.406600000002;376.0218;0;0
14/06 19:00 UTC;0;9280.6202;1561.0208;2939.9715;1653.4694;34.7397;486.3156;7.9854;241.3603;0;16205.482899999999;383.5847;0;0
14/06 20:00 UTC;0;8956.3228;1493.8079;2703.8315;1673.6751;30.2398;557.5158;0.7657;231.8493;0;15648.0079;372.9313;0;0
14/06 21:00 UTC;0;7592.8089;1151.5278;2343.6195;1726.8427;20.805999999999997;650.0222;0.4186;221.7528;0;13707.798499999999;344.8904;0;0
14/06 22:00 UTC;0;6070.3014;752.6583;1961.6501;1766.9061000000002;12.9306;725.9652;0.2308;215.3211;3.3408;11509.3044;308.1196;0;0
14/06 23:00 UTC;0;4056.299;699.311;1845.4989;1782.9016000000001;12.0591;745.635;0.2893;212.7721;3.3408;9358.106800000001;263.4481;0;0
15/06 00:00 UTC;0;3686.8296;708.9016;1773.4457;1745.3771;12.171;762.5717999999999;0.2464;211.7565;3.3408;8904.640500000001;250.9126;0;0
15/06 01:00 UTC;0;3367.5909;694.5848;1767.6553;1749.3059;10.8368;809.7928999999999;0.2807;209.3408;3.3408;8612.728899999998;238.8596;0;0
15/06 02:00 UTC;0;3405.4767;693.9413;1760.2322;1781.4241000000002;11.5667;852.4938;0.9862;210.8971;3.3408;8720.358900000001;233.0504;0;0
15/06 03:00 UTC;0;3421.729;699.0102;1754.2753;1720.6335;11.1218;919.5681999999999;31.8301;212.3685;3.3408;8773.8774;222.0267;0;0
15/06 04:00 UTC;0;3414.376;699.3579;1759.1987;1690.4514;9.8794;1025.6994;146.555;215.7701;3.3408;8964.628700000001;204.7241;0;0
15/06 05:00 UTC;0;3355.9773;694.6982;1523.4692;1662.5567999999998;10.5607;1095.7282;327.2019;216.9971;3.3408;8890.530200000001;185.3328;0;0
15/06 06:00 UTC;0;3339.9587;690.788;1401.106;1683.1898999999999;10.8073;1125.8811;586.3063;213.7302;3.3408;9055.1083;172.8335;0;0
15/06 07:00 UTC;0;3325.4167;692.102;1413.156;1727.9325;14.6338;1078.3757;963.0305;210.0756;3.3408;9428.063600000001;163.522;0;0
15/06 08:00 UTC;0;3327.7055;686.8901;1391.5334;1685.8646;10.190700000000001;964.7230999999999;1402.737;206.1055;3.3408;9679.0907;161.1638;0;0
15/06 09:00 UTC;0;3331.7797;690.4724;1388.9988;1679.8337999999999;9.233099999999999;892.0636;1826;203.7411;3.3408;10025.4633;156.1104;0;0
15/06 10:00 UTC;0;3341.7163;690.497;1320.7357;1548.9533999999999;9.1641;773.5172;2142.9925;199.2575;3.3408;10030.174500000001;152.9498;0;0
15/06 11:00 UTC;0;3344.1747;682.3759;1282.9163;1447.0569;8.978;599.2773;2306.4583;197.8182;3.3408;9872.3964;156.0501;0;0
15/06 12:00 UTC;0;3336.0958;670.5269;1283.1826;1462.5888;8.7617;548.7445;2324.8992;198.2677;3.3408;9836.407999999998;158.2387;0;0
15/06 13:00 UTC;0;3358.0937;658.9098;1269.6314;1381.07;8.5753;651.4778;2213.4414;199.2908;3.3408;9743.831;154.4042;0;0
15/06 14:00 UTC;0;3357.3345;650.3325;1273.4928;1346.9451999999999;9.5356;772.0455;1955.3825;203.0764;3.3408;9571.4858;152.6965;0;0
15/06 15:00 UTC;0;3437.9006;651.5899;1349.6562;1384.5538;11.795999999999998;861.5522000000001;1526.273;209.7518;3.3408;9436.4143;158.548;0;0
15/06 16:00 UTC;0;3542.1526;747.365;1484.0679;1386.248;12.863999999999999;888.694;986.1276;219.8015;3.3408;9270.661399999999;174.8308;0;0
15/06 17:00 UTC;0;3683.3783;978.1676;1656.521;1423.2849;19.7501;835.6619000000001;469.1845;231.0813;3.3408;9300.3704;200.3364;0;0
15/06 18:00 UTC;0;4071.2442;1100.032;2010.3497;1460.8959;33.544399999999996;699.7860000000001;147.5006;239.037;0;9762.389799999999;229.4111;0;0
15/06 19:00 UTC;0;4291.1894;1293.5891;2184.7033;1456.0744;35.8369;638.1128;11.2591;237.9402;0;10148.7052;252.8885;0;0
15/06 20:00 UTC;0;4536.1609;1368.1688;2128.5759;1514.0416;32.4813;661.9056;0.4241;232.8349;0;10474.5931;262.4425;0;0
15/06 21:00 UTC;0;3877.0429;1083.2571;2129.4175;1569.945;24.2958;703.6281;0.2442;225.4227;0;9613.2533;252.3084;0;0
15/06 22:00 UTC;0;3676.4119;956.447;1905.8904;1643.9543999999999;20.579;726.5882;0.3289;218.7429;3.3938;9152.336500000001;246.7632;0;0
15/06 23:00 UTC;0;3373.9121;957.3592;1728.3237;1569.3518;15.615100000000002;734.4885;0.2667;214.3272;3.3938;8597.0381;242.9003;0;0
16/06 00:00 UTC;0;3345.6876;642.7562;1573.158;1650.8245;13.8819;741.9947999999999;0.2396;210.7877;3.3938;8182.7241;236.9295;0;0
16/06 01:00 UTC;0;3355.8105;658.4783;1606.7276;1757.1534;11.7561;740.1679;0.2297;208.8978;3.3938;8342.615099999999;244.7588;0;0
16/06 02:00 UTC;0;3404.3671;665.3914;1640.4146;1862.5227;10.317699999999999;727.1220000000001;0.9154;208.9866;3.3938;8523.4313;253.8429;0;0
16/06 03:00 UTC;0;3430.0414;670.056;1636.8449;1775.9892;10.4609;720.633;36.8044;210.8283;3.2878;8494.9459;250.0939;0;0
16/06 04:00 UTC;0;3397.6759;671.0693;1601.5284;1736.4238;10.2489;682.9253;237.1815;214.2982;3.1817;8554.533000000001;238.4403;0;0
16/06 05:00 UTC;0;3346.7193;673.806;1416.2914;1708.7242999999999;10.334999999999999;617.4837;683.4975;216.5233;3.1817;8676.5622;214.2824;0;0
16/06 06:00 UTC;0;3346.7638;671.449;1370.9633;1746.2995999999998;11.7192;500.9895;1257.9894;215.4981;3.1817;9124.8536;197.1876;0;0
16/06 07:00 UTC;0;3334.024;662.1469;1395.604;1847.0774;10.5592;475.42509999999993;1795.8745;211.425;3.1817;9735.317799999999;182.3689;0;0
16/06 08:00 UTC;0;3330.7507;660.4704;1405.8803;1865.5368999999998;10.244;454.2046;2235.8301;207.4708;3.1817;10173.5695;171.6204;0;0
16/06 09:00 UTC;0;3251.9978;659.8195;1415.6954;1912.6909;9.6312;504.9172;2439.4413;204.4302;3.1817;10401.805199999999;163.9837;0;0
16/06 10:00 UTC;0;3331.0149;652.507;1418.1;1887.0928;9.227200000000002;549.185;2455.1663;200.586;3.1817;10506.0609;162.3348;0;0
16/06 11:00 UTC;0;3369.2178;634.5438;1413.1703;1817.8087;8.821399999999999;525.4956;2415.5979;199.2035;3.1817;10387.040700000001;163.9388;0;0
16/06 12:00 UTC;0;3364.3816;635.2785;1387.5009;1768.2145;9.6285;480.19939999999997;2315.6775;197.3673;3.1817;10161.429900000001;167.2526;0;0
16/06 13:00 UTC;0;3367.1014;630.604;1411.7675;1848.778;9.5175;480.6468;2062.2706;198.2069;3.1817;10012.0744;175.5242;0;0
16/06 14:00 UTC;0;3401.1494;730.0625;1432.9256;1904.2896;10.1755;493.1101;1726.5155;203.1279;3.1817;9904.5378;187.6792;0;0
16/06 15:00 UTC;0;3423.5644;945.4856;1455.2299;1962.0889;12.043600000000001;531.7472;1306.2049;210.2381;3.1817;9849.784300000001;203.6086;0;0
16/06 16:00 UTC;0;4587.4624;1058.5731;1605.0062;1934.5498;13.824200000000001;532.5138999999999;840.1126;220.3272;3.1817;10795.5511;248.4127;0;0
16/06 17:00 UTC;0;7171.8601;1260.8949;1971.4382;1951.4457;21.0641;437.9756;393.8639;233.2526;3.1817;13444.9768;340.371;0;0
16/06 18:00 UTC;0;8062.7816;1411.4029;2317.5649;1943.6515000000002;31.0107;374.31800000000004;123.9607;239.8797;0;14504.570000000002;383.539;0;0
16/06 19:00 UTC;0;8574.3026;1414.031;2391.0732;1916.8416;35.725;318.0186;11.7509;240.057;0;14901.799899999998;409.6433;0;0
16/06 20:00 UTC;0;8874.1382;1431.4174;2461.0721;1896.0130000000001;38.6576;300.3917;1.2525;237.0888;0;15240.0313;414.0269;0;0
16/06 21:00 UTC;0;9162.0097;1394.7661;2464.2629;1880.9374;27.6651;319.3568;0.4669;227.6537;0;15477.118600000002;445.2918;0;0
16/06 22:00 UTC;0;9155.0349;1427.0412;2213.0263;1997.9092;18.179100000000002;328.04859999999996;0.2245;214.0783;3.2878;15356.8299;477.588;0;0
16/06 23:00 UTC;0;9286.8608;1437.1618;2384.5219;2002.51;14.4647;324.4389;0.2196;207.49;3.2878;15660.9555;497.011;0;0
17/06 00:00 UTC;0;9540.5119;1412.6109;2540.0158;1955.6914;13.0174;304.3275;0.2322;205.574;3.2878;15975.2689;513.726;0;0
17/06 01:00 UTC;0;9997.2107;1415.1232;2651.3846;1949.3611999999998;13.572099999999999;290.09749999999997;0.2634;205.964;3.2878;16526.264499999997;524.7083;0;0
